"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.DISABLE_KEYGUARD","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_FINE_LOCATION","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.ACCESS_NETWORK_STATE","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.WAKE_LOCK","1","0"
"android.permission.ACCESS_WIFI_STATE","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.CAMERA","1","0"
"android.permission.READ_PHONE_STATE","0","1"
