"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.NFC","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.REORDER_TASKS","1","0"
"android.permission.READ_CALENDAR","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SYNC_SETTINGS","1","0"
"android.permission.ACCESS_FINE_LOCATION","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"cn.wps.moffice_i18n.permission.C2D_MESSAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"com.google.android.providers.gsf.permission.WRITE_GSERVICES","0","1"
"com.huawei.notepad.permission.convertwps","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.MANAGE_EXTERNAL_STORAGE","0","1"
"com.huawei.gallery.service.hwPrintService","0","1"
"miui.permission.ACCESS_MILINK_CAST","0","1"
"com.huawei.permission.HANDOFF","0","1"
"cn.wps.moffice_i18n.permission.MIPUSH_RECEIVE","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.CAMERA","0","1"
"com.huawei.pcassistant.permisssion.HANDOFF_SDK_SERVICE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"cn.wps.moffice_i18n.permission.BROADCAST","0","1"
"miui.permission.ACCESS_CAST_PROVIDER","0","1"
