"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.WAKE_LOCK","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.android.vending.BILLING","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
