"Permission","Code","Manifest"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.READ_CALENDAR","1","1"
"android.permission.NFC","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.CHANGE_NETWORK_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.KILL_BACKGROUND_PROCESSES","1","0"
"android.permission.SET_WALLPAPER","1","0"
"org.adw.launcher_donut.permission.READ_SETTINGS","0","1"
"com.huawei.launcher2.permission.READ_SETTINGS","0","1"
"android.permission.ACCESS_COARSE_UPDATES","0","1"
"android.permission.WRITE_CALENDAR","0","1"
"android.permission.RECEIVE_USER_PRESENT","0","1"
"android.permission.INTERACT_ACROSS_USERS_FULL","0","1"
"com.htc.launcher.permission.WRITE_SETTINGS","0","1"
"org.adwfreak.launcher.permission.READ_SETTINGS","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"com.qihoo360.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"android.permission.CAPTURE_VIDEO_OUTPUT","0","1"
"com.huawei.launcher2.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.android.launcher2.permission.INSTALL_SHORTCUT","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.android.mylauncher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"org.adw.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"com.fede.launcher.permission.READ_SETTINGS","0","1"
"android.permission.CHANGE_CONFIGURATION","0","1"
"com.fede.launcher.permission.WRITE_SETTINGS","0","1"
"telecom.mdesk.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.RECORD_VIDEO","0","1"
"com.android.launcher3.permission.READ_SETTINGS","0","1"
"com.sec.android.app.twlauncher.settings.WRITE_SETTINGS","0","1"
"android.permission.GET_TOP_ACTIVITY_INFO","0","1"
"dianxin.permission.ACCESS_LAUNCHER_DATA","0","1"
"com.alibaba.dingtalk.global.permission.external.provider.WRITE","0","1"
"com.android.mylauncher.permission.READ_SETTINGS","0","1"
"android.permission.MANAGE_DOCUMENTS","0","1"
"com.sec.android.app.twlauncher.settings.READ_SETTINGS","0","1"
"org.adwfreak.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher2.permission.READ_SETTINGS","0","1"
"com.alibaba.dingtalk.global.push.permission.MESSAGE","0","1"
"com.lge.launcher.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"net.qihoo.launcher.permission.WRITE_SETTINGS","0","1"
"com.tencent.qqlauncher.permission.READ_SETTINGS","0","1"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"com.alibaba.dingtalk.global.permission.MIPUSH_RECEIVE","0","1"
"com.huawei.launcher3.permission.READ_SETTINGS","0","1"
"org.adw.launcher_donut.permission.WRITE_SETTINGS","0","1"
"com.meizu.flyme.push.permission.RECEIVE","0","1"
"android.permission.ZTE_HEARTYSERVICE_MANAGEMENT","0","1"
"com.coloros.mcs.permission.RECIEVE_MCS_MESSAGE","0","1"
"android.permission.CALL_PHONE","0","1"
"android.permission.GET_ACCOUNTS","0","1"
"com.android.launcher2.permission.WRITE_SETTINGS","0","1"
"android.permission.FLASHLIGHT","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"com.heytap.mcs.permission.RECIEVE_MCS_MESSAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.launcher3.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.anddoes.launcher.permission.READ_SETTINGS","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.alibaba.dingtalk.global.permission.external.provider.READ","0","1"
"com.ebproductions.android.launcher.permission.READ_SETTINGS","0","1"
"com.tencent.qqlauncher.permission.WRITE_SETTINGS","0","1"
"com.meizu.c2dm.permission.RECEIVE","0","1"
"net.qihoo.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher3.permission.WRITE_SETTINGS","0","1"
"org.adw.launcher.permission.WRITE_SETTINGS","0","1"
"com.alibaba.dingtalk.global.permission.C2D_MESSAGE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.anddoes.launcher.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"telecom.mdesk.permission.READ_SETTINGS","0","1"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","0","1"
"com.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.qihoo360.launcher.permission.READ_SETTINGS","0","1"
