"Permission","Code","Manifest"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.QUERY_ALL_PACKAGES","0","1"
"com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"android.permission.USE_BIOMETRIC","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.USE_FINGERPRINT","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
