"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.READ_LOGS","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_WIFI_STATE","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.C2D_MESSAGE","0","1"
"com.amazon.dcp.metrics.permission.METRICS_PERMISSION","0","1"
"com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER","0","1"
"amazon.permission.COLLECT_METRICS","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE","0","1"
"com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER","0","1"
"com.amazon.device.logmanager.permission.USE_LOG_MANAGER_SERVICE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS","0","1"
"com.amazon.identity.permission.GENERIC_IPC","0","1"
"com.amazon.identity.auth.device.perm.AUTH_SDK","0","1"
"com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED","0","1"
"com.amazon.dcp.sso.permission.MANAGE_COR_PFM","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"com.amazon.klite.permission.C2D_MESSAGE","0","1"
"com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed","0","1"
"com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER","0","1"
"com.amazon.dcp.sso.permission.account.changed","0","1"
