"Permission","Code","Manifest"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.READ_PROFILE","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"org.adw.launcher_donut.permission.READ_SETTINGS","0","1"
"com.huawei.launcher2.permission.READ_SETTINGS","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.REQUEST_DELETE_PACKAGES","0","1"
"android.permission.WRITE_CALENDAR","0","1"
"com.s.launcher.permission.WRITE_SETTINGS","0","1"
"com.samsung.android.providers.context.permission.READ_RECORD_AUDIO","0","1"
"android.permission.RECEIVE_USER_PRESENT","0","1"
"com.actionlauncher.playstore.permission.READ_SETTINGS","0","1"
"android.permission.SET_TIME_ZONE","0","1"
"com.android.browser.permission.WRITE_HISTORY_BOOKMARKS","0","1"
"android.permission.READ_USER_DICTIONARY","0","1"
"com.s.launcher.permission.READ_SETTINGS","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"android.permission.SUBSCRIBED_FEEDS_READ","0","1"
"com.htc.launcher.permission.WRITE_SETTINGS","0","1"
"org.adwfreak.launcher.permission.READ_SETTINGS","0","1"
"com.bbk.launcher2.permission.READ_SETTINGS","0","1"
"com.google.android.gms.permission.AD_ID_NOTIFICATION","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.DISABLE_KEYGUARD","0","1"
"android.permission.READ_CLIPS","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.qihoo360.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"android.permission.WRITE_OWNER_DATA","0","1"
"android.permission.SET_WALLPAPER_HINTS","0","1"
"com.huawei.authentication.HW_ACCESS_AUTH_SERVICE","0","1"
