"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.KILL_BACKGROUND_PROCESSES","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_LOGS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.READ_SYNC_STATS","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.REQUEST_DELETE_PACKAGES","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_USER_PRESENT","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.SYSTEM_OVERLAY_WINDOW","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","0","1"
"android.permission.USE_FINGERPRINT","0","1"
"android.permission.BATTERY_STATS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"android.ikeep.permission.BROADCAST","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"android.permission.QUERY_ALL_PACKAGES","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"android.permission.MANAGE_EXTERNAL_STORAGE","0","1"
"android.permission.SCHEDULE_EXACT_ALARM","0","1"
"android.permission.FORCE_STOP_PACKAGES","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
