"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"android.permission.REQUEST_DELETE_PACKAGES","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"me.everything.badger.permission.BADGE_COUNT_READ","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"android.permission.ACCESS_NETWORK_STATE","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.CLEAR_APP_CACHE","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"android.permission.READ_APP_BADGE","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.BIND_ACCESSIBILITY_SERVICE","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"android.permission.RESTART_PACKAGES","0","1"
"android.permission.KILL_BACKGROUND_PROCESSES","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"me.everything.badger.permission.BADGE_COUNT_WRITE","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
