"Permission","Code","Manifest"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.BLUETOOTH_ADMIN","0","1"
"com.dlink.mydlink.permission.C2D_MESSAGE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECORD_AUDIO","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
