"Permission","Code","Manifest"
"android.permission.VIBRATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_FINE_LOCATION","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.INSTALL_PACKAGES","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
" android.permission.USE_BIOMETRIC","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","0","1"
"android.permission.USE_FINGERPRINT","0","1"
"com.fingerprints.service.ACCESS_FINGERPRINT_MANAGER","0","1"
"oppo.permission.OPPO_COMPONENT_SAFE","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"android.permission.QUERY_ALL_PACKAGES","0","1"
"android.permission.BROADCAST_PACKAGE_ADDED","0","1"
"android.permission.KILL_BACKGROUND_PROCESSES","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
