"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.READ_PROFILE","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.CHANGE_WIFI_STATE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_CONTACTS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.facebook.lite.provider.ACCESS","0","1"
"com.facebook.mlite.provider.ACCESS","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_PHONE_NUMBERS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.facebook.orca.provider.ACCESS","0","1"
"com.facebook.mlite.BROADCAST","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.facebook.pages.app.provider.ACCESS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"com.facebook.wakizashi.provider.ACCESS","0","1"
"android.permission.BATTERY_STATS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"com.facebook.mlite.permission.C2D_MESSAGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"android.permission.USE_FULL_SCREEN_INTENT","0","1"
"android.permission.CAMERA","0","1"
"com.facebook.katana.provider.ACCESS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.facebook.permission.prod.FB_APP_COMMUNICATION","0","1"
