"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.RECEIVE_BOOT_COMPLETED","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.ACCESS_MOCK_LOCATION","1","1"
"android.permission.SEND_SMS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.BLUETOOTH_ADMIN","0","1"
"android.permission.EXPAND_STATUS_BAR","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"android.permission.BLUETOOTH_SCAN","0","1"
"android.permission.ACCESS_BACKGROUND_LOCATION","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"android.permission.ACTIVITY_RECOGNITION","0","1"
"com.flashlight.lite.gps.logger.permission.MAPS_RECEIVE","0","1"
"android.permission.CAMERA","0","1"
"android.permission.BLUETOOTH_CONNECT","0","1"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","0","1"
"com.google.android.gms.permission.ACTIVITY_RECOGNITION","0","1"
