"Permission","Code","Manifest"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.GET_TASKS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
