"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_FINE_LOCATION","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.MEDIA_CONTENT_CONTROL","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
