"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.READ_PROFILE","1","1"
"com.facebook.mlite.provider.ACCESS","0","1"
"android.permission.READ_PHONE_NUMBERS","0","1"
"android.permission.WRITE_CALENDAR","0","1"
"android.permission.READ_CALENDAR","0","1"
"com.facebook.orca.provider.ACCESS","0","1"
"android.permission.ACCESS_COARSE_LOCATION","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"android.permission.WAKE_LOCK","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.MANAGE_ACCOUNTS","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.RECORD_AUDIO","0","1"
"android.permission.BROADCAST_STICKY","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"android.permission.CHANGE_WIFI_STATE","0","1"
"android.permission.GET_TASKS","0","1"
"android.permission.USE_FULL_SCREEN_INTENT","0","1"
"com.facebook.katana.provider.ACCESS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_CONTACTS","0","1"
"android.permission.CALL_PHONE","0","1"
"android.permission.GET_ACCOUNTS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.facebook.lite.provider.ACCESS","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.AUTHENTICATE_ACCOUNTS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.facebook.wakizashi.provider.ACCESS","0","1"
"android.permission.BATTERY_STATS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.VIBRATE","0","1"
"android.permission.REORDER_TASKS","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_PHONE_STATE","0","1"
