"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.ACCESS_BACKGROUND_LOCATION","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.internet.speed.meter.lite.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","0","1"
