"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.READ_USER_DICTIONARY","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.CAMERA","1","1"
"android.permission.SET_WALLPAPER","1","1"
"android.permission.USE_SIP","1","0"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.KILL_BACKGROUND_PROCESSES","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.READ_CONTACTS","0","1"
"android.permission.WRITE_USER_DICTIONARY","0","1"
"android.permission.INTERNAL_SYSTEM_WINDOW","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.DEVICE_POWER","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
