"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.KILL_BACKGROUND_PROCESSES","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.SET_WALLPAPER","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_FINE_LOCATION","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.READ_CONTACTS","0","1"
"com.jrummy.liberty.toolbox.permission.C2D_MESSAGE","0","1"
"android.permission.WRITE_USER_DICTIONARY","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.browser.permission.READ_HISTORY_BOOKMARKS","0","1"
"com.android.browser.permission.WRITE_HISTORY_BOOKMARKS","0","1"
"android.permission.READ_USER_DICTIONARY","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.ACCESS_SUPERUSER","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.android.vending.BILLING","0","1"
