"Permission","Code","Manifest"
"com.macrovideo.v380lite.permission.PUSH_PROVIDER","0","1"
"android.permission.FLASHLIGHT","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_USER_PRESENT","0","1"
"com.macrovideo.v380lite.permission.MIPUSH_RECEIVE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"android.permission.ACCESS_COARSE_LOCATION","0","1"
"android.permission.ACCESS_NETWORK_STATE","0","1"
"android.permission.OVERRIDE_WIFI_CONFIG","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.MANAGE_APP_TOKENS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.CHANGE_CONFIGURATION","0","1"
"android.permission.VIBRATE","0","1"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","0","1"
"com.macrovideo.v380lite.permission.JPUSH_MESSAGE","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.MOUNT_UNMOUNT_FILESYSTEMS","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.macrovideo.v380lite.permission.PROCESS_PUSH_MSG","0","1"
"android.permission.CHANGE_WIFI_STATE","0","1"
"android.permission.INTERNET","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
