"Permission","Code","Manifest"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.SEND_SMS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"com.hihonor.permission.MANAGE_FOLD_SCREEN","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"com.huawei.permission.app.DOWNLOAD","0","1"
"com.mc.notifyPermission","0","1"
"android.permission.BLUETOOTH_SCAN","0","1"
"android.permission.QUERY_ALL_PACKAGES","0","1"
"com.android.vending.BILLING","0","1"
"com.hihonor.permission.sec.MDM.v2","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"com.huawei.permission.sec.ACCESS_UDID","0","1"
"android.permission.SCHEDULE_EXACT_ALARM","0","1"
"com.hihonor.permission.MANAGE_FOLD_SCREEN_PRIVILEGED","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.android.permission.GET_INSTALLED_APPS","0","1"
"android.permission.CAMERA","0","1"
"com.hihonor.permission.sec.ACCESS_UDID","0","1"
"android.permission.BLUETOOTH_CONNECT","0","1"
"com.huawei.permission.sec.MDM.v2","0","1"
"android.permission.READ_PHONE_STATE","0","1"
