"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.READ_SYNC_STATS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"com.michatapp.im.lite.LIBCOREDAEMON_BROADCAST_PERMISSIONS","0","1"
"android.permission.INTERACT_ACROSS_USERS","0","1"
"android.permission.INTERACT_ACROSS_USERS_FULL","0","1"
"com.vivo.notification.permission.BADGE_ICON","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"android.permission.CHANGE_WIFI_STATE","0","1"
"android.permission.ACTIVITY_RECOGNITION","0","1"
"com.coloros.mcs.permission.RECIEVE_MCS_MESSAGE","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.FLASHLIGHT","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"com.heytap.mcs.permission.RECIEVE_MCS_MESSAGE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"android.permission.HIGH_SAMPLING_RATE_SENSORS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
