"Permission","Code","Manifest"
"android.permission.VIBRATE","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.USE_SIP","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.READ_LOGS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.CALL_PHONE","0","1"
"android.permission.GET_ACCOUNTS","0","1"
"android.permission.FLASHLIGHT","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.READ_PHONE_SINTERNETWIFI_STATE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"android.permission.INTERACT_ACROSS_USERS_FULL","0","1"
"com.mumuchatulite.live.andpermission.bridge","0","1"
"com.mumuchatulite.live.permission.RONG_ACCESS_RECEIVER","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.DISABLE_KEYGUARD","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.RUN_INSTRUMENTATION","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"android.permission.CHANGE_WIFI_STATE","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.USE_FULL_SCREEN_INTENT","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","0","1"
