"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"com.olacabs.lite.permission.C2D_MESSAGE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
