"Permission","Code","Manifest"
"android.permission.VIBRATE","1","1"
"android.permission.SET_WALLPAPER_HINTS","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.KILL_BACKGROUND_PROCESSES","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.SET_WALLPAPER","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.USE_SIP","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.RECORD_AUDIO","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.RECEIVE_USER_PRESENT","0","1"
"com.android.browser.permission.READ_HISTORY_BOOKMARKS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.DISABLE_KEYGUARD","0","1"
"android.permission.CLEAR_APP_CACHE","0","1"
"huawei.android.permission.HW_SIGNATURE_OR_SYSTEM","0","1"
"com.android.vending.BILLING","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"android.hardware.camera.flash","0","1"
"android.permission.FLASHLIGHT","0","1"
"android.permission.READ_SYNC_SETTINGS","0","1"
"android.permission.GET_ACCOUNTS","0","1"
"android.permission.UPDATE_APP_OPS_STATS","0","1"
"android.permission.EXPAND_STATUS_BAR","0","1"
"android.permission.BLUETOOTH_ADMIN","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.hardware.camera.autofocus","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"android.permission.BATTERY_STATS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"android.hardware.camera","0","1"
"com.phone.launcher.lite.permission.MIPUSH_RECEIVE","0","1"
"android.permission.BIND_ACCESSIBILITY_SERVICE","0","1"
"com.android.ContactWidget.permission.WRITE_SETTINGS","0","1"
"android.permission.WRITE_SYNC_SETTINGS","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_WEATHERCLOCK_PROVIDER","0","1"
"com.android.launcher.permission.WRITE_SETTINGS","0","1"
