"Permission","Code","Manifest"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"android.permission.BIND_WALLPAPER","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"com.picsart.studio.permission.MAPS_RECEIVE","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.POST_NOTIFICATIONS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"com.sec.android.iap.permission.BILLING","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.CAMERA","0","1"
"com.google.android.gms.permission.ACTIVITY_RECOGNITION","0","1"
