"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.ACCESS_NETWORK_STATE","1","0"
"android.permission.WAKE_LOCK","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.RECORD_AUDIO","1","0"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.MODIFY_AUDIO_SETTINGS","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.providers.tv.permission.READ_EPG_DATA","0","1"
"com.android.providers.tv.permission.WRITE_EPG_DATA","0","1"
