"Permission","Code","Manifest"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.CAMERA","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.WAKE_LOCK","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
