"Permission","Code","Manifest"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.WRITE_SOCIAL_STREAM","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"com.sec.android.settings.permission.SOFT_RESET","0","1"
"android.permission.READ_CONTACTS","0","1"
"android.permission.READ_LOGS","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.AUTHENTICATE_ACCOUNTS","0","1"
"com.sec.android.stk.permission.EVENT","0","1"
"com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"com.samsung.android.camera.iris.permission.USE_IRIS","0","1"
"android.permission.WRITE_MEDIA_STORAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.INTERACT_ACROSS_USERS_FULL","0","1"
"android.permission.WRITE_SECURE_SETTINGS","0","1"
"com.samsung.android.camera.iris.permission.RESET_IRIS_LOCKOUT","0","1"
"android.permission.MANAGE_USERS","0","1"
"com.samsung.android.permission.FINGERPRINT_PRIVILEGED","0","1"
"android.permission.MANAGE_ACCOUNTS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.MANAGE_ACTIVITY_STACKS","0","1"
"com.samsung.android.camera.iris.permission.MANAGE_IRIS","0","1"
"com.wssnps.permission.COM_WSSNPS","0","1"
"com.samsung.android.dualscreen.permission.USE_INTERNAL_APIS","0","1"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","0","1"
"com.samsung.android.permission.SSRM_NOTIFICATION_PERMISSION","0","1"
"android.permission.REORDER_TASKS","0","1"
"android.permission.READ_PRIVILEGED_PHONE_STATE","0","1"
"android.permission.RECORD_AUDIO","0","1"
"android.permission.CONFIGURE_WIFI_DISPLAY","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"android.permission.DEVICE_POWER","0","1"
"android.permission.READ_SYNC_STATS","0","1"
"android.permission.WRITE_SYNC_SETTINGS","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"android.permission.GET_ACCOUNTS_PRIVILEGED","0","1"
"android.permission.CAMERA","0","1"
"android.permission.MODIFY_AUDIO_SETTINGS","0","1"
