"Permission","Code","Manifest"
"android.permission.SEND_SMS","1","1"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.READ_PROFILE","1","1"
"android.permission.RECEIVE_MMS","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.CAMERA","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_CONTACTS","0","1"
"android.permission.CALL_PHONE","0","1"
"android.permission.READ_SMS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"com.amazon.device.messaging.permission.RECEIVE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.skype.m2.permission.C2D_MESSAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.ACCESS_FINE_LOCATION","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.RECEIVE_SMS","0","1"
"android.permission.WRITE_SMS","0","1"
"android.permission.DISABLE_KEYGUARD","0","1"
"android.permission.RECEIVE_WAP_PUSH","0","1"
"android.permission.READ_SYNC_STATS","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"android.permission.USE_FULL_SCREEN_INTENT","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
