"Permission","Code","Manifest"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.GET_ACCOUNTS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"com.huawei.launcher2.permission.READ_SETTINGS","0","1"
"com.ss.android.ugc.trill.go.permission.WRITE_ACCOUNT","0","1"
"com.ss.android.ugc.trill.go.permission.MIPUSH_RECEIVE","0","1"
"com.android.launcher2.permission.READ_SETTINGS","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.htc.launcher.permission.WRITE_SETTINGS","0","1"
"com.lge.launcher.permission.WRITE_SETTINGS","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"com.miui.mihome2.permission.READ_SETTINGS","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"com.huawei.launcher3.permission.READ_SETTINGS","0","1"
"com.meizu.flyme.push.permission.RECEIVE","0","1"
"com.huawei.launcher2.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher2.permission.WRITE_SETTINGS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.launcher3.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.ebproductions.android.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"com.ss.android.ugc.trill.go.permission.READ_ACCOUNT","0","1"
"com.meizu.c2dm.permission.RECEIVE","0","1"
"com.miui.mihome2.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"com.android.launcher3.permission.READ_SETTINGS","0","1"
"android.permission.WRITE_SYNC_SETTINGS","0","1"
"com.android.launcher3.permission.WRITE_SETTINGS","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"dianxin.permission.ACCESS_LAUNCHER_DATA","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"com.ss.android.ugc.trill.go.push.permission.MESSAGE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"com.ss.android.ugc.trill.go.permission.C2D_MESSAGE","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.android.launcher.permission.WRITE_SETTINGS","0","1"
