"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"com.tatkovlab.pomodorolite.permission.C2D_MESSAGE","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
