"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
