"Permission","Code","Manifest"
"android.permission.DISABLE_KEYGUARD","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.ACCESS_MOCK_LOCATION","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"com.ventel.android.radardroid.lite.permission.DATABASE_WRITE","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.BLUETOOTH_ADMIN","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"com.ventel.android.radardroid.lite.permission.C2D_MESSAGE","0","1"
"com.ventel.android.radardroid.lite.permission.DEBUG_MODE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"com.ventel.android.radardroid.lite.permission.DATABASE_READ","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"android.permission.ACCESS_BACKGROUND_LOCATION","0","1"
"android.permission.ACTIVITY_RECOGNITION","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"android.permission.READ_PHONE_STATE","0","1"
"com.google.android.gms.permission.ACTIVITY_RECOGNITION","0","1"
