"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.READ_PROFILE","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.CALL_PHONE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.QUICKBOOT_POWERON","0","1"
"android.permission.INSTALL_SHORTCUT","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"android.permission.POST_NOTIFICATIONS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.android.vending.BILLING","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"android.permission.USE_FULL_SCREEN_INTENT","0","1"
"me.everything.badger.permission.BADGE_COUNT_WRITE","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"org.telegram.messenger.permission.C2D_MESSAGE","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.READ_SYNC_SETTINGS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.NFC","0","1"
"org.telegram.messenger.permission.MAPS_RECEIVE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"me.everything.badger.permission.BADGE_COUNT_READ","0","1"
"android.permission.MANAGE_OWN_CALLS","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"android.permission.USE_FINGERPRINT","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.WRITE_SYNC_SETTINGS","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"android.permission.USE_BIOMETRIC","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
