"Permission","Code","Manifest"
"android.permission.VIBRATE","1","1"
"android.permission.KILL_BACKGROUND_PROCESSES","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.CAMERA","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.CHANGE_WIFI_STATE","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"org.adw.launcher_donut.permission.READ_SETTINGS","0","1"
"com.huawei.launcher2.permission.READ_SETTINGS","0","1"
"com.sec.android.app.twlauncher.settings.READ_SETTINGS","0","1"
"org.adwfreak.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher2.permission.READ_SETTINGS","0","1"
"com.htc.launcher.permission.WRITE_SETTINGS","0","1"
"com.lge.launcher.permission.WRITE_SETTINGS","0","1"
"org.adwfreak.launcher.permission.READ_SETTINGS","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"net.qihoo.launcher.permission.WRITE_SETTINGS","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"com.tencent.qqlauncher.permission.READ_SETTINGS","0","1"
"com.qihoo360.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.huawei.launcher3.permission.READ_SETTINGS","0","1"
"org.adw.launcher_donut.permission.WRITE_SETTINGS","0","1"
"com.huawei.launcher2.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"com.android.launcher2.permission.WRITE_SETTINGS","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.launcher3.permission.WRITE_SETTINGS","0","1"
"com.android.mylauncher.permission.WRITE_SETTINGS","0","1"
"com.anddoes.launcher.permission.READ_SETTINGS","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"org.adw.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.ebproductions.android.launcher.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"com.fede.launcher.permission.READ_SETTINGS","0","1"
"com.tencent.qqlauncher.permission.WRITE_SETTINGS","0","1"
"com.fede.launcher.permission.WRITE_SETTINGS","0","1"
"telecom.mdesk.permission.WRITE_SETTINGS","0","1"
"com.android.launcher3.permission.READ_SETTINGS","0","1"
"net.qihoo.launcher.permission.READ_SETTINGS","0","1"
"com.sec.android.app.twlauncher.settings.WRITE_SETTINGS","0","1"
"com.android.launcher3.permission.WRITE_SETTINGS","0","1"
"org.adw.launcher.permission.WRITE_SETTINGS","0","1"
"dianxin.permission.ACCESS_LAUNCHER_DATA","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.anddoes.launcher.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.android.mylauncher.permission.READ_SETTINGS","0","1"
"telecom.mdesk.permission.READ_SETTINGS","0","1"
"com.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.qihoo360.launcher.permission.READ_SETTINGS","0","1"
