"Permission","Code","Manifest"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.GET_ACCOUNTS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.KILL_BACKGROUND_PROCESSES","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.READ_CONTACTS","0","1"
"android.permission.CALL_PHONE","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.WRITE_CALENDAR","0","1"
"android.permission.EXPAND_STATUS_BAR","0","1"
"android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS","0","1"
"com.amap.data.service.ACCESS_SERVICE","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.READ_CALENDAR","0","1"
"com.xiaomi.passport.permission.PASSPORT_UI_CONTROLLER_SERVICE","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"com.android.launcher2.permission.READ_SETTINGS","0","1"
"android.permission.WRITE_CONTACTS","0","1"
"com.ximalaya.ting.android.permission.XIAO_AI_SERVICE_CONTROL","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.xiaomi.voicetrigger.VOICE_AUTH","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"com.android.launcher3.permission.READ_SETTINGS","0","1"
"android.permission.REQUEST_INSTALL_PACKAGES","0","1"
"com.xiaomi.permission.AUTH_SERVICE","0","1"
"android.permission.SET_ALARM","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"com.xiaomi.voicetrigger.VOICE_TRIGGER","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"android.permission.ACCESS_DOWNLOAD_MANAGER","0","1"
