"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.CAMERA","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"me.everything.badger.permission.BADGE_COUNT_READ","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"com.vivo.notification.permission.BADGE_ICON","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.SET_WALLPAPER","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"me.everything.badger.permission.BADGE_COUNT_WRITE","0","1"
"android.permission.UPDATE_APP_BADGE","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
