"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.MODIFY_AUDIO_SETTINGS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.RECORD_AUDIO","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
