"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.READ_LOGS","0","1"
"android.permission.ACCESS_SUPERUSER","0","1"
"android.permission.ACCESS_COARSE_LOCATION","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.DUMP","0","1"
