"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.NFC","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","0"
"android.permission.REORDER_TASKS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.ACCESS_WIFI_STATE","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.chrome.permission.DEVICE_EXTRAS","0","1"
"lite.cryptotab.android.permission.C2D_MESSAGE","0","1"
"android.permission.POST_NOTIFICATIONS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"android.permission.QUERY_ALL_PACKAGES","0","1"
"lite.cryptotab.android.permission.READ_WRITE_BOOKMARK_FOLDERS","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"lite.cryptotab.android.TOS_ACKED","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.google.android.apps.now.CURRENT_ACCOUNT_ACCESS","0","1"
"android.permission.CAMERA","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
