"Permission","Code","Manifest"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.PERSISTENT_ACTIVITY","0","1"
"android.permission.ACCESS_WIFI_STATE","0","1"
"android.permission.ACCESS_LOCATION_EXTRA_COMMANDS","0","1"
