"Permission","Code","Manifest"
"android.permission.DISABLE_KEYGUARD","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.BLUETOOTH_ADMIN","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.CHANGE_WIFI_STATE","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.GET_ACCOUNTS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"org.adw.launcher_donut.permission.READ_SETTINGS","0","1"
"com.zui.launcher.permission.WRITE_SETTINGS","0","1"
"com.huawei.launcher2.permission.READ_SETTINGS","0","1"
"android.permission.REQUEST_DELETE_PACKAGES","0","1"
"android.permission.INSTALL_SHORTCUT","0","1"
"app.cobo.launcher.permission.READ_SETTINGS","0","1"
"com.lenovo.launcherhdmarket.permission.READ_SETTINGS","0","1"
"com.s.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.WRITE_CALENDAR","0","1"
"com.gionee.amisystem.permission.READ_SETTINGS","0","1"
"com.asus.launcher3.permission.READ_SETTINGS","0","1"
"com.baoruan.launcher2.permission.READ_SETTINGS","0","1"
"com.ztemt.launcher.permission.READ_SETTINGS","0","1"
"com.s.launcher.permission.READ_SETTINGS","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.modaco.android.launchergb.permission.WRITE_SETTINGS","0","1"
"com.slim.slimlauncher.permission.WRITE_SETTINGS","0","1"
"com.htc.launcher.permission.WRITE_SETTINGS","0","1"
"org.adwfreak.launcher.permission.READ_SETTINGS","0","1"
"com.bbk.launcher2.permission.READ_SETTINGS","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"com.zte.lqsoft.launcher.permission.WRITE_SETTINGS","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.nd.android.launcher.permission.WRITE_SETTINGS","0","1"
"com.zte.mifavor.launcher.permission.READ_SETTINGS","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"com.mgyun.permission.WRITE_SETTINGS","0","1"
"android.permission.BLUETOOTH_SCAN","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.qihoo360.launcher.permission.WRITE_SETTINGS","0","1"
"com.alphalp.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.vending.p2p.APP_INSTALL_API","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"com.motorola.launcher3.permission.READ_SETTINGS","0","1"
"com.tsf.shell.permission.READ_SETTINGS","0","1"
"com.mx.launcher.permission.READ_SETTINGS","0","1"
"com.lenovo.launcherhdmarket.permission.WRITE_SETTINGS","0","1"
"com.huawei.launcher2.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"com.mgyun.permission.READ_SETTINGS","0","1"
"com.asus.launcher3.permission.WRITE_SETTINGS","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.teslacoilsw.launcher.permission.READ_SETTINGS","0","1"
"app.cobo.launcher.permission.WRITE_SETTINGS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.mx.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.mylauncher.permission.WRITE_SETTINGS","0","1"
"com.lo.launcher.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"me.everything.badger.permission.BADGE_COUNT_READ","0","1"
"com.huaqin.launcherEx.permission.READ_SETTINGS","0","1"
"org.adw.launcher.permission.READ_SETTINGS","0","1"
"com.ibingo.launcher.permission.READ_SETTINGS","0","1"
"com.ibingo.launcher.permission.WRITE_SETTINGS","0","1"
"com.l.launcher.permission.WRITE_SETTINGS","0","1"
"com.huaqin.launcherEx.permission.WRITE_SETTINGS","0","1"
"com.android.launcher.permission.INSTALL_SHORTCUT","0","1"
"com.android.launcher.permission.READ_SETTINGS","0","1"
"com.fede.launcher.permission.READ_SETTINGS","0","1"
"com.sec.android.app.launcher.permission.WRITE_SETTINGS","0","1"
"com.fede.launcher.permission.WRITE_SETTINGS","0","1"
"com.miui.mihome2.permission.WRITE_SETTINGS","0","1"
"telecom.mdesk.permission.WRITE_SETTINGS","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"com.ztemt.launcher.permission.WRITE_SETTINGS","0","1"
"com.tul.aviate.permission.READ_SETTINGS","0","1"
"com.android.launcher3.permission.READ_SETTINGS","0","1"
"com.sec.android.app.twlauncher.settings.WRITE_SETTINGS","0","1"
"android.permission.KILL_BACKGROUND_PROCESSES","0","1"
"dianxin.permission.ACCESS_LAUNCHER_DATA","0","1"
"com.nd.android.launcher.permission.READ_SETTINGS","0","1"
"com.zte.lqsoft.launcher.permission.READ_SETTINGS","0","1"
"com.epic.launcher.tw.permission.WRITE_SETTINGS","0","1"
"com.android.lewalauncher.permission.READ_SETTINGS","0","1"
