"Permission","Code","Manifest"
"android.permission.VIBRATE","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.GET_ACCOUNTS","1","0"
"android.permission.AUTHENTICATE_ACCOUNTS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.READ_PHONE_STATE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.READ_CONTACTS","0","1"
"android.permission.READ_SYNC_SETTINGS","0","1"
"android.permission.FLASHLIGHT","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"video.like.lite.permission.PERMISSION_SAFE_BROADCAST","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.vivo.notification.permission.BADGE_ICON","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.imo.android.imoim.permission.Bepulled","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE ","0","1"
"android.permission.READ_APP_BADGE","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECORD_AUDIO","0","1"
"android.permission.CHANGE_WIFI_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.CAMERA","0","1"
